update,bacteria_pop,phage_pop,lysogen_pop,arbitrium,mean_lysogeny_rate,mean threshold
0,1000,10,0,0,0.532079,0
1,991,12,6,9,0.448934,0.000274918
2,983,12,11,17,0.398494,0.000566678
3,977,12,14,23,0.39798,0.000852818
4,971,15,16,29,0.381114,0.00156341
5,965,29,16,36,0.357347,0.0023416
6,950,39,22,52,0.33444,0.00384711
7,931,63,27,73,0.320777,0.00442418
8,899,92,39,108,0.308455,0.00482309
9,866,105,50,146,0.306091,0.00553431
10,836,118,59,183,0.302449,0.00614419
11,786,200,67,241,0.29408,0.00707555
12,713,255,91,325,0.291157,0.00732647
13,624,331,120,427,0.289738,0.00710816
14,514,376,159,552,0.28911,0.00696713
15,435,365,191,647,0.289419,0.006897
16,371,358,217,727,0.291504,0.00654657
17,311,306,251,802,0.291989,0.00674171
18,267,254,278,859,0.292818,0.00667838
19,235,214,302,903,0.293281,0.00686704
20,212,178,327,936,0.293353,0.00700322
21,196,144,350,961,0.294129,0.00716436
22,188,101,369,977,0.294788,0.00707483
23,181,64,391,992,0.295472,0.00723283
24,183,46,407,997,0.295501,0.00720358
25,185,30,423,1002,0.296151,0.00710604
26,188,15,440,1006,0.295928,0.0071115
27,192,9,458,1008,0.295714,0.00714261
28,198,5,474,1008,0.295573,0.00709151
29,203,5,489,1009,0.29486,0.00699322
30,209,2,504,1009,0.295457,0.00697681
31,213,0,519,1010,0.295311,0.0069204
32,218,0,532,1010,0.295506,0.00692351
33,223,4,544,1010,0.295429,0.00695083
34,228,1,556,1010,0.295525,0.00694838
35,232,1,568,1010,0.295272,0.00692937
36,236,1,579,1010,0.295164,0.00691511
37,240,0,589,1010,0.295093,0.00694549
38,244,0,599,1010,0.294798,0.00699269
39,247,4,607,1010,0.294598,0.006939
40,250,1,615,1010,0.294549,0.00696378
41,253,0,623,1010,0.294356,0.00698353
42,256,0,630,1010,0.294194,0.00700537
43,258,0,637,1010,0.294098,0.00701641
44,260,0,643,1010,0.293943,0.00704269
45,262,0,649,1010,0.293885,0.00703104
46,264,0,654,1010,0.293772,0.00701667
47,266,0,659,1010,0.293731,0.00702758
48,267,0,663,1010,0.293812,0.00703982
49,268,0,667,1010,0.29381,0.007032
50,269,0,671,1010,0.293718,0.00703987
51,270,0,675,1010,0.293699,0.0070319
52,271,0,678,1010,0.293727,0.00705477
53,272,0,681,1010,0.293679,0.00705889
54,273,0,684,1010,0.293716,0.00704304
55,274,0,686,1010,0.293657,0.00703852
56,275,0,688,1010,0.293621,0.00705468
57,276,4,689,1010,0.293764,0.00702146
58,276,2,691,1010,0.293598,0.00703372
59,276,0,693,1010,0.29343,0.00705895
60,276,0,695,1010,0.293368,0.00707082
61,276,0,697,1010,0.293333,0.00707714
62,276,0,698,1010,0.293312,0.00709788
63,276,0,699,1010,0.293301,0.00710406
64,276,0,700,1010,0.293283,0.00710651
65,276,0,701,1010,0.293269,0.00710097
66,276,0,702,1010,0.293236,0.00709085
67,276,0,703,1010,0.293216,0.00708077
