update,bacteria_pop,phage_pop,lysogen_pop,arbitrium,mean_lysogeny_rate,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,1000,100,0,0,0.27494,4,22,50,21,2,1,0,0,0,0
1,975,139,4,25,0.258755,10,35,70,26,1,1,0,0,0,0
2,934,188,16,68,0.246261,18,55,99,31,1,0,0,0,0,0
3,893,232,28,113,0.240464,28,73,119,39,1,0,0,0,0,0
4,832,313,43,181,0.230762,42,117,152,44,1,0,0,0,0,0
5,774,366,63,249,0.22413,53,160,164,51,1,0,0,0,0,0
6,705,447,79,330,0.22037,78,193,191,64,0,0,0,0,0,0
7,639,527,90,411,0.217149,97,248,201,71,0,0,0,0,0,0
8,562,615,107,505,0.217261,108,310,219,85,0,0,0,0,0,0
9,506,647,126,579,0.216243,113,343,232,85,0,0,0,0,0,0
10,432,734,143,671,0.214404,132,395,260,90,0,0,0,0,0,0
11,365,774,164,756,0.206918,167,426,257,88,0,0,0,0,0,0
12,307,776,184,831,0.202632,178,439,267,76,0,0,0,0,0,0
13,256,787,202,897,0.202958,193,430,283,83,0,0,0,0,0,0
14,213,728,226,953,0.203029,193,401,278,82,0,0,0,0,0,0
15,179,682,246,998,0.202118,192,383,275,78,0,0,0,0,0,0
16,160,621,267,1027,0.204726,176,361,273,78,0,0,0,0,0,0
17,143,580,287,1053,0.208721,160,348,280,79,0,0,0,0,0,0
18,134,493,307,1070,0.213446,134,323,266,77,0,0,0,0,0,0
19,120,436,327,1091,0.216022,126,300,256,81,0,0,0,0,0,0
20,108,369,348,1109,0.219363,111,281,244,81,0,0,0,0,0,0
21,102,316,369,1120,0.223664,103,257,239,86,0,0,0,0,0,0
22,100,270,389,1127,0.225796,96,244,233,86,0,0,0,0,0,0
23,101,225,408,1131,0.230735,80,240,225,88,0,0,0,0,0,0
24,97,173,430,1139,0.235476,68,228,217,90,0,0,0,0,0,0
25,96,156,448,1144,0.238095,62,228,223,91,0,0,0,0,0,0
