update,bacteria_pop,phage_pop,lysogen_pop,arbitrium,mean_lysogeny_rate,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,1000,100,0,2,0.27494,4,22,50,21,2,1,0,0,0,0
1,994,100,2,8,0.275324,4,18,56,22,2,0,0,0,0,0
2,991,97,3,11,0.275342,4,17,56,21,2,0,0,0,0,0
3,987,95,5,15,0.281999,4,16,52,26,2,0,0,0,0,0
4,983,95,6,19,0.282647,4,15,54,27,1,0,0,0,0,0
5,973,115,8,30,0.277749,3,23,65,31,1,0,0,0,0,0
6,970,107,11,34,0.279441,3,23,59,32,1,0,0,0,0,0
7,966,112,12,39,0.27762,3,25,64,31,1,0,0,0,0,0
8,959,117,16,48,0.273336,5,30,63,34,1,0,0,0,0,0
9,955,120,18,54,0.272333,5,31,69,33,0,0,0,0,0,0
10,945,146,18,66,0.277097,5,42,70,47,0,0,0,0,0,0
11,942,136,22,72,0.277358,4,42,66,46,0,0,0,0,0,0
12,939,139,24,78,0.28072,4,37,76,46,0,0,0,0,0,0
13,932,151,27,88,0.273532,4,43,87,44,0,0,0,0,0,0
14,926,157,30,97,0.271345,3,49,92,43,0,0,0,0,0,0
15,924,154,33,103,0.271938,2,47,97,41,0,0,0,0,0,0
16,917,160,37,113,0.267936,2,55,99,41,0,0,0,0,0,0
17,910,166,41,124,0.273855,2,54,101,50,0,0,0,0,0,0
18,908,160,44,130,0.272474,2,58,96,48,0,0,0,0,0,0
19,906,165,44,136,0.273618,4,54,100,51,0,0,0,0,0,0
20,905,171,44,141,0.26962,7,57,99,52,0,0,0,0,0,0
21,901,178,46,149,0.269543,8,56,109,51,0,0,0,0,0,0
22,899,185,46,155,0.268108,8,57,118,48,0,0,0,0,0,0
23,894,195,47,164,0.271017,10,56,120,56,0,0,0,0,0,0
24,897,189,47,166,0.272442,10,55,113,58,0,0,0,0,0,0
25,895,189,49,173,0.273889,8,57,115,58,0,0,0,0,0,0
26,892,193,50,181,0.270654,8,60,120,55,0,0,0,0,0,0
27,893,181,52,185,0.268271,8,62,112,51,0,0,0,0,0,0
28,888,191,53,194,0.270345,7,64,117,56,0,0,0,0,0,0
29,886,182,56,201,0.269998,7,60,118,53,0,0,0,0,0,0
30,881,197,58,211,0.2708,7,59,137,52,0,0,0,0,0,0
31,877,209,58,220,0.268826,7,64,147,49,0,0,0,0,0,0
