update,bacteria_pop,phage_pop,lysogen_pop,arbitrium,mean_lysogeny_rate,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,1000,100,0,2,0.0979242,67,33,0,0,0,0,0,0,0,0
1,993,106,2,9,0.098229,71,37,0,0,0,0,0,0,0,0
2,986,122,2,16,0.094271,87,37,0,0,0,0,0,0,0,0
3,979,142,2,24,0.095653,98,46,0,0,0,0,0,0,0,0
4,971,162,2,33,0.0924804,117,47,0,0,0,0,0,0,0,0
5,965,181,2,41,0.0939689,127,56,0,0,0,0,0,0,0,0
6,954,215,3,55,0.0948348,151,67,0,0,0,0,0,0,0,0
7,947,230,4,66,0.0965478,161,73,0,0,0,0,0,0,0,0
8,942,241,6,75,0.0998396,156,91,0,0,0,0,0,0,0,0
9,937,260,6,84,0.0982081,173,93,0,0,0,0,0,0,0,0
10,930,286,6,96,0.0983209,194,98,0,0,0,0,0,0,0,0
11,923,304,7,108,0.0985313,208,103,0,0,0,0,0,0,0,0
12,916,327,9,121,0.098611,227,109,0,0,0,0,0,0,0,0
13,903,353,13,140,0.0996472,238,128,0,0,0,0,0,0,0,0
14,888,380,17,162,0.0995596,259,138,0,0,0,0,0,0,0,0
15,879,411,18,179,0.101087,268,161,0,0,0,0,0,0,0,0
16,868,449,19,199,0.100678,296,172,0,0,0,0,0,0,0,0
17,856,480,22,220,0.101358,314,188,0,0,0,0,0,0,0,0
18,843,513,26,243,0.101889,340,199,0,0,0,0,0,0,0,0
19,834,549,27,263,0.102337,361,215,0,0,0,0,0,0,0,0
20,830,557,28,278,0.102565,368,217,0,0,0,0,0,0,0,0
21,813,589,35,306,0.102436,395,229,0,0,0,0,0,0,0,0
22,801,629,37,330,0.101462,432,234,0,0,0,0,0,0,0,0
23,786,663,39,357,0.102035,454,248,0,0,0,0,0,0,0,0
24,765,730,39,391,0.10197,501,268,0,0,0,0,0,0,0,0
25,749,768,43,421,0.101429,531,280,0,0,0,0,0,0,0,0
26,722,852,45,463,0.100512,592,305,0,0,0,0,0,0,0,0
27,701,915,49,500,0.101389,618,346,0,0,0,0,0,0,0,0
28,684,965,54,534,0.100583,653,366,0,0,0,0,0,0,0,0
29,674,1001,59,561,0.100145,682,378,0,0,0,0,0,0,0,0
30,655,1061,63,597,0.10064,710,414,0,0,0,0,0,0,0,0
