update,bacteria_pop,phage_pop,lysogen_pop,arbitrium,mean_lysogeny_rate,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,1000,100,0,2,0.486226,5,4,12,16,24,22,10,5,1,1
1,993,98,4,9,0.474614,7,4,12,14,27,24,8,4,1,1
2,986,103,6,16,0.486565,6,4,8,17,30,28,11,3,1,1
3,982,107,7,20,0.479384,6,4,7,23,33,25,11,3,1,1
4,978,98,12,25,0.479128,6,4,6,22,33,24,10,3,1,1
5,971,91,17,32,0.465503,8,4,5,21,35,21,10,3,0,1
6,970,90,18,34,0.463843,8,4,5,21,36,20,10,3,0,1
7,966,94,20,39,0.467684,7,4,5,22,42,20,10,3,0,1
8,963,93,22,43,0.459644,7,7,4,21,44,18,10,3,0,1
9,959,97,24,48,0.451118,7,7,4,30,42,18,9,3,0,1
10,957,98,25,51,0.451684,6,5,7,32,42,18,9,3,0,1
11,954,94,28,55,0.458782,4,5,6,34,42,18,9,3,0,1
12,950,92,31,60,0.451085,4,5,6,38,41,17,8,3,0,1
13,949,95,31,62,0.449204,4,5,6,40,40,19,8,3,0,1
14,949,92,31,63,0.443287,4,8,5,38,38,18,8,3,0,1
15,946,96,32,67,0.439109,4,11,3,40,40,18,8,3,0,1
16,947,95,32,68,0.440808,3,12,3,39,40,18,8,3,0,1
17,945,97,33,71,0.43929,3,14,3,39,38,21,8,3,0,1
18,941,96,37,77,0.436386,3,13,3,44,38,20,8,3,0,1
19,937,92,41,83,0.436488,2,12,3,46,41,17,8,3,0,1
20,936,94,42,86,0.434124,1,15,2,48,41,17,8,3,0,1
21,934,100,43,90,0.433617,1,15,2,50,46,17,8,3,0,1
22,932,107,43,94,0.428277,1,18,2,52,48,17,8,3,0,1
23,932,109,43,96,0.430386,1,19,2,50,48,20,8,3,0,1
24,932,101,44,98,0.432349,1,18,2,47,47,19,7,3,0,1
25,930,103,46,102,0.42954,1,18,2,51,47,19,7,3,0,1
26,930,103,47,104,0.428887,1,18,2,51,48,19,7,3,0,1
27,925,91,53,111,0.424756,1,18,2,48,47,18,7,3,0,0
28,922,84,57,116,0.422008,1,19,2,46,47,16,7,3,0,0
29,920,85,58,119,0.414057,4,18,2,47,46,16,7,3,0,0
30,917,79,61,124,0.407563,4,20,2,47,41,16,7,3,0,0
31,916,76,63,127,0.407936,3,20,5,44,41,16,7,3,0,0
32,911,78,66,133,0.396757,6,21,5,43,44,16,6,3,0,0
33,910,74,68,136,0.398204,6,20,5,42,44,16,6,3,0,0
34,905,71,72,143,0.40157,5,19,4,46,44,16,6,3,0,0
35,900,85,73,150,0.38577,11,19,4,51,49,15,6,3,0,0
36,900,87,73,152,0.382427,11,21,6,49,49,15,6,3,0,0
37,898,87,75,156,0.383618,11,19,9,50,49,15,6,3,0,0
38,897,83,77,159,0.385345,11,18,9,49,49,15,6,3,0,0
39,895,79,79,163,0.380924,14,16,9,47,48,15,6,3,0,0
40,892,87,80,168,0.369459,17,19,9,50,48,15,6,3,0,0
41,893,84,80,169,0.36699,18,18,9,50,45,15,6,3,0,0
42,890,98,80,174,0.34966,24,23,9,53,45,15,6,3,0,0
43,888,100,81,178,0.344611,28,22,9,51,47,15,6,3,0,0
44,886,110,81,182,0.341981,30,22,12,53,50,15,6,3,0,0
45,884,113,82,186,0.337461,30,25,15,52,49,15,6,3,0,0
46,882,116,83,191,0.330311,35,23,15,53,49,15,6,3,0,0
47,879,119,84,197,0.344211,33,20,15,50,61,15,6,3,0,0
48,873,132,86,206,0.335424,40,22,15,49,68,15,6,3,0,0
49,870,138,87,212,0.331263,43,22,18,48,70,15,6,3,0,0
50,869,139,88,216,0.334318,41,22,18,52,70,15,6,3,0,0
51,867,134,90,221,0.33382,40,25,16,51,68,15,6,3,0,0
